Horodateur,Quels sont les principaux défis que vous rencontrez pour retrouver les informations sur les verres gravés ? ,  Combien de temps passez-vous en moyenne à identifier un verre gravé ?,  Utilisez-vous des outils pour faciliter l’identification des gravures ?,  Seriez-vous intéressé par une solution numérique qui permettrait d’accélérer ce processus ?,  Dans quelles situations aimeriez-vous avoir un outil automatisé pour vous aider dans la gestion des verres gravés ?  
02/10/2024 19:43:56,Difficulté à retrouver les informations précises,5 à 10 minutes,Un guide de gravures papier,"Oui, beaucoup",Lors de la vente pour identifier le verre porté et proposer l’équivalent ou mieux 
02/10/2024 19:50:05,Difficulté à retrouver les informations précises,Moins de 5 minutes,Guide des gravures,"Oui, beaucoup",Quand on a pas d’historique 
02/10/2024 19:51:28,Recherche manuelle longue,Moins de 5 minutes,Non ,"Oui, beaucoup",Pour les gravure que je ne connais pas 
02/10/2024 19:55:04,"Recherche manuelle longue, Difficulté à retrouver les informations précises","Moins de 5 minutes, 5 à 10 minutes",France optique,"Oui, beaucoup",Recherche au global avec un outil ou l’on pourrait dessiner la gravure et qui reconnaîtrait le verre directement 
02/10/2024 19:55:17,"Manque de clarté dans les gravures, Recherche manuelle longue, Difficulté à retrouver les informations précises",5 à 10 minutes,"Guide de gravure, kifekoi","Oui, beaucoup",Recherche de progressif exterieur
02/10/2024 19:56:50,Recherche manuelle longue,Moins de 5 minutes,Guide des gravures ,"Oui, beaucoup",Lorsque les verres viennent d’un verrier peu connu 
02/10/2024 19:59:30,Difficulté à retrouver les informations précises,Moins de 5 minutes,Non,"Oui, beaucoup",Vente d’un progressif pour un nouveau client 
02/10/2024 19:59:43,Manque de clarté dans les gravures,Moins de 5 minutes,Le guide des gravures en ligne,Peut-être,Quand on ne connait pas le client et ses verres
02/10/2024 20:13:48,"Manque de clarté dans les gravures, Recherche manuelle longue, Difficulté à retrouver les informations précises, Difficultés à voir les gravures ",5 à 10 minutes,Le guide des gravure,"Oui, beaucoup",Nouveaux clients pour un devis notamment 
02/10/2024 20:23:48,"Manque de clarté dans les gravures, Difficulté à retrouver les informations précises",5 à 10 minutes,Non,Peut-être,Connaître le type de verres d’un nouveau client.
02/10/2024 20:25:34,Recherche manuelle longue,5 à 10 minutes,France optique ,Peut-être,Quand le client ne connaît pas la qualité de son verre et qu’il se retrouve perdu parmi les 2-3 devis présentés avec différents verres au point de ne pas valider la vente immédiatement 
02/10/2024 20:26:51,Manque de clarté dans les gravures,5 à 10 minutes,Bien vu ,"Oui, beaucoup",Pour un personne n’ayant pas de dossier client chez nous 
02/10/2024 20:36:07,Difficulté à retrouver les informations précises,Moins de 5 minutes,Guide des gravure papier ou en ligne,"Oui, beaucoup",?
02/10/2024 20:39:00,Difficulté à retrouver les informations précises,Moins de 5 minutes,Non,Peut-être,Verres très rayés et abîmés 
02/10/2024 20:41:14,Difficulté à retrouver les informations précises,5 à 10 minutes,Qui fait quoi,"Oui, beaucoup","Pour connaître la génération du verre , être sure de ne pas se planter "
02/10/2024 20:44:12,Recherche manuelle longue,5 à 10 minutes,Guide des gravures,"Oui, beaucoup, Peut-être",Lorsqu'il s'agit d'une ancienne géométrie plus au catalogue fournisseur 
02/10/2024 20:44:29,"Recherche manuelle longue, Difficulté à retrouver les informations précises",Moins de 5 minutes,france gravure,"Oui, beaucoup",plus rapide
02/10/2024 20:44:33,Manque de clarté dans les gravures,5 à 10 minutes,Loupe,"Oui, beaucoup",Un nouveau client
02/10/2024 20:46:41,"Manque de clarté dans les gravures, Recherche manuelle longue, Difficulté à retrouver les informations précises",Moins de 5 minutes,Une lumière et le france optique,"Oui, beaucoup","Pas assez d'infos sur cet outil pour répondre, en fonction de sa complexité on ne l'utilisera pas de la même façon ni dans les mêmes conditions "
02/10/2024 20:48:38,"Recherche manuelle longue, Difficulté à retrouver les informations précises",Moins de 5 minutes,Kifekoi,"Oui, beaucoup",Pouvoir proposer à minimum une gamme équivalente à nos clients
02/10/2024 20:55:01,Difficulté à retrouver les informations précises,Moins de 5 minutes,Tableau des gravures,"Oui, beaucoup",Nouveau client 
02/10/2024 20:59:58,Difficulté à retrouver les informations précises,Plus de 10 minutes,Gravures du kifekoi ou j’appelle directement le verrier ,Peut-être,Cela peut être utile pour savoir la gamme de verre que le client a
02/10/2024 21:04:20,Difficulté à retrouver les informations précises,Moins de 5 minutes,Loupe,"Oui, beaucoup",Étude des besoins nouveau client 
02/10/2024 21:06:40,Retrouver la gravure dans le guide des gravure ,Moins de 5 minutes,Non,Peut-être,"Pour savoir ce que les nouveaux clients portent, et savoir à quelle qualité appartient leur verre ( prog standard, milieu de gamme ou haut de gamme)"
02/10/2024 21:16:26,Recherche manuelle longue,5 à 10 minutes,Un livre des gravures ,"Oui, beaucoup",Avec client lors de vente 
02/10/2024 21:41:59,"Recherche manuelle longue, Difficulté à retrouver les informations précises",Moins de 5 minutes,Guide des gravures papier,"Oui, beaucoup",Lors des ventes à des clients (première fois au mag) qui veulent un équivalent de ce qu’ils portent mais qu’on ne trouve pas dans le guide des gravures + pour verres des centrales 
02/10/2024 22:08:17,Manque de clarté dans les gravures,5 à 10 minutes,Lampe et loupe ,"Oui, beaucoup",Pour mieux comprendre la demande du client 
02/10/2024 22:10:13,"Manque de clarté dans les gravures, Recherche manuelle longue, Difficulté à retrouver les informations précises",5 à 10 minutes,France gravures ,"Oui, beaucoup",Déterminer le verre d’un porteur avec precision
02/10/2024 22:19:14,Difficulté à retrouver les informations précises,Moins de 5 minutes,Lampe,"Non, pas intéressé","Lors des ventes de nouveaux clients, afin d’identifier précisément et rapidement les verres portés "
02/10/2024 22:24:29,Recherche manuelle longue,Moins de 5 minutes,non,Peut-être,non
02/10/2024 22:32:11,"Manque de clarté dans les gravures, Recherche manuelle longue",5 à 10 minutes,"Loupe, guide des gravures ","Oui, beaucoup","Verres de grandes enseignes, nouveau client "
02/10/2024 22:41:45,Recherche manuelle longue,Moins de 5 minutes,Lumière verte et loupe,"Non, pas intéressé",Pas besoin
02/10/2024 22:42:04,Difficulté à retrouver les informations précises,Moins de 5 minutes,Loupe éclairante + lexique des gravures,"Oui, beaucoup",Un logiciel qui lit et interprète les gravures 
02/10/2024 22:50:49,"Manque de clarté dans les gravures, Difficulté à retrouver les informations précises",Moins de 5 minutes,Non,"Oui, beaucoup","En vente, pour connaître le type de verres portés par un nouveau client "
02/10/2024 22:57:49,"Recherche manuelle longue, Difficulté à retrouver les informations précises",Moins de 5 minutes,Ki fait koi,"Oui, beaucoup",Quand on a un nouveau client pour savoir quel type de verre il avait s’il n’a pas sa carte de verre sur lui 
02/10/2024 23:03:41,"Manque de clarté dans les gravures, Difficulté à retrouver les informations précises",Moins de 5 minutes,Guide des gravure ,"Oui, beaucoup","Pour tous les verres , un fichier central serait top accessible depuis la table de vente. "
02/10/2024 23:16:30,Difficulté à retrouver les informations précises,5 à 10 minutes,Oui,"Oui, beaucoup",Je ne dirais pas que l'on a besoin que ça soit automatisé mais surtout d'avoir besoin la liste des gravures pour tout les types de verre progressif sans exception même les verres d'enseigne 
02/10/2024 23:23:06,"Manque de clarté dans les gravures, Recherche manuelle longue, Difficulté à retrouver les informations précises",5 à 10 minutes,Guide des gravures du kifekoi,"Oui, beaucoup","Nouveau client qui souhaite la même qualité de verre mais n'a aucun document 
"
02/10/2024 23:27:15,Difficulté à retrouver les informations précises,Moins de 5 minutes,Lampe lumière verte ,Peut-être,Identification de verres réalisé chez des verriers que nous ne travaillons pas 
02/10/2024 23:30:07,"Recherche manuelle longue, Difficulté à retrouver les informations précises",Moins de 5 minutes,Néon,"Non, pas intéressé",Nouveau client
02/10/2024 23:47:11,"Manque de clarté dans les gravures, Recherche manuelle longue","Moins de 5 minutes, 5 à 10 minutes",Guide des gravures ,"Oui, beaucoup",Connaitre les technologies de verres de chèques verriers . Connaître les verres des franchises 
03/10/2024 00:25:02,Manque de clarté dans les gravures,Moins de 5 minutes,France optique ,"Oui, beaucoup",Nouveau client pour connaître son ancien équipement 
03/10/2024 02:42:34,Recherche manuelle longue,5 à 10 minutes,Guide des gravures,Peut-être,"Verres des chaînes (Afflelou, krys etc)"
03/10/2024 04:03:55,"Manque de clarté dans les gravures, Recherche manuelle longue, Difficulté à retrouver les informations précises",5 à 10 minutes,Non,"Oui, beaucoup",Lors de la vente pour connaître les anciens verres d'un client ne venant pas du magasin
03/10/2024 06:37:14,"Manque de clarté dans les gravures, Recherche manuelle longue",Moins de 5 minutes,Non,Peut-être,Devant un potentiel client
03/10/2024 07:28:17,"Manque de clarté dans les gravures, Recherche manuelle longue",5 à 10 minutes,Lumière artificielle + catalogue ,"Oui, beaucoup",Devis nouveau client 
03/10/2024 07:35:55,Recherche manuelle longue,Moins de 5 minutes,Guide des gravures,"Oui, beaucoup",Lors du devis 
03/10/2024 08:01:52,Recherche manuelle longue,5 à 10 minutes,Non,Peut-être,Verif centrage; reconnaissance verres
03/10/2024 08:02:50,Manque de clarté dans les gravures,Moins de 5 minutes,Guide des gravures pour les verres que je ne connais pas,"Oui, beaucoup",Contrôle de verres porteur sur des nouveaux clients
03/10/2024 08:10:52,Manque de clarté dans les gravures,5 à 10 minutes,Non,"Oui, beaucoup",.
03/10/2024 08:13:36,"Recherche manuelle longue, Difficulté à retrouver les informations précises",Moins de 5 minutes,Non,"Oui, beaucoup",Verres sous enseigne
03/10/2024 08:20:21,Recherche manuelle longue,5 à 10 minutes,Catalogue de gravures,"Oui, beaucoup",Identification d’une gravure venant d’un verrier avec lequel je ne travaille pas
03/10/2024 08:26:59,Recherche manuelle longue,Moins de 5 minutes,Guides des gravures et/ou ami qui bosse avec le verrier,"Oui, beaucoup",Devant un client très embêtant 
03/10/2024 08:28:36,Pas de difficulté particulière ,Moins de 5 minutes,Non,"Non, pas intéressé",Franchement je ne vois pas l’intérêt.
03/10/2024 08:44:55,"Manque de clarté dans les gravures, Recherche manuelle longue, Difficulté à retrouver les informations précises",5 à 10 minutes,Non ,"Oui, beaucoup","Lors de la visite d’un premier client, un numéro unique que l’on rentrerait dans un logiciel permettrait de faire ressortir le nom du verre, amaincissement, etc.."
03/10/2024 08:48:05,Difficulté à retrouver les informations précises,Moins de 5 minutes,Guide des gravures,"Oui, beaucoup",Identification verres progressifs 
03/10/2024 09:02:22,Recherche manuelle longue,Moins de 5 minutes,Non,"Oui, beaucoup",retrouver le type de verres d'un nouveau client 
03/10/2024 09:16:53,"Recherche manuelle longue, Difficulté à retrouver les informations précises",Moins de 5 minutes,"Guide de gravure sur internet , et bienvenue ","Oui, beaucoup",Pas spécialement mais une base de données claire serait un plus 
03/10/2024 09:23:38,"Manque de clarté dans les gravures, Recherche manuelle longue",Moins de 5 minutes,Oui,"Oui, beaucoup",Lorque c'est de nouveaux clients et que l'on cherche la catégorie du verre
03/10/2024 09:29:59,"Manque de clarté dans les gravures, Difficulté à retrouver les informations précises",5 à 10 minutes,Une loupe pour les trouver et le kifékoi ou le site France Optique pour les identifier ,Peut-être,"Pour identifier de vieux verres, des verres de distributeurs, des verres très abîmés ou pour confirmer l’équivalence avec un autre fournisseur "
03/10/2024 09:49:48,"Manque de clarté dans les gravures, Difficulté à retrouver les informations précises",Moins de 5 minutes,Guide des gravures ,"Oui, beaucoup",Pour identifier le verre facilement puis proposer un produit équivalent en terme de confort visuel chez mon fournisseur 
03/10/2024 10:21:12,Recherche manuelle longue,5 à 10 minutes,Non,Peut-être,A titre comparatif 
03/10/2024 10:34:18,Difficulté à retrouver les informations précises,Moins de 5 minutes,Guide des gravures (bien vu),"Oui, beaucoup",Lors de l’identification des verres de nouveaux clients 
03/10/2024 11:17:19,Recherche manuelle longue,5 à 10 minutes,Je plisse les yeux :),Peut-être,Comparaison de géométrie 
03/10/2024 11:22:04,Difficulté à retrouver les informations précises,5 à 10 minutes,Internet ,"Oui, beaucoup","Au delà de la recherche des gravures, un outil comparatif des différentes géométries, afin de mieux connaître/comprendre les équivalences entre verriers."
